author,datetime,link,subtitle,title
g1, 07/03/2023 10h45 ,https://g1.globo.com/mundo/noticia/2023/03/07/brasil-se-oferece-para-acolher-nicaraguenses-que-tiveram-nacionalidade-retirada.ghtml,Governo do Brasil manifestou em reunião de conselho da ONU estar 'extremamente preocupado' com violações de direitos humanos na Nicarágua,Brasil se oferece para acolher dissidentes da Nicarágua
g1, 07/03/2023 14h06 ,https://g1.globo.com/pop-arte/tv-e-series/noticia/2023/03/07/fiscal-que-impediu-liberacao-das-joias-de-bolsonaro-participou-da-serie-aeroporto-area-restrita.ghtml,"Programa da Discovery mostra o dia a dia da Receita Federal no Aeroporto de Guarulhos, o maior da América Latina.",Fiscal que barrou joias no aeroporto de SP participou de série
g1 BA e TV Santa Cruz, 07/03/2023 12h47 ,https://g1.globo.com/ba/bahia/noticia/2023/03/07/integrantes-do-mst-desocupam-area-invadida-de-empresa-de-celulose-na-bahia.ghtml,Outras duas áreas de Teixeira de Freitas e Caravelas seguem invadidas pelo grupo.,MST deixa área invadida de empresa de celulose na Bahia
"Franco Junior, Thayná Araújo e Júlia Reis e EPTV Sul de Minas", 07/03/2023 12h50 ,https://g1.globo.com/mg/sul-de-minas/noticia/2023/03/07/apos-40-anos-familia-reencontra-idoso-resgatado-em-situacao-analoga-a-escravidao-em-mg-video.ghtml,"Depois de reportagem exibida pelo Fantástico, supostos familiares foram em busca de João Ribeiro, que está em um asilo em Bueno Brandão (MG).","Mulher diz ser irmã de 'João do Brejo', vítima de trabalho escravo por 40 anos"
André Catto, 07/03/2023 00h00 ,https://g1.globo.com/economia/noticia/2023/03/07/dinheiro-esquecido-saques-comecam-hoje-veja-o-passo-a-passo-para-resgatar-valores.ghtml,Serviço do Banco Central libera acesso para saques nesta terça-feira (7). Há mais de R$ 6 bilhões para serem devolvidos.,PASSO A PASSO: como descobrir se você tem dinheiro esquecido (e sacá-lo)
"César Tralli, TV Globo", 07/03/2023 13h24 ,https://g1.globo.com/politica/noticia/2023/03/07/dino-pede-que-pf-investigue-vereador-que-ligou-sem-provas-ministro-do-stf-a-pedofilia.ghtml,"Ministro da Justiça solicitou que Sandro Fantinel seja incluído nos inquéritos das fake news e dos atos antidemocráticos. Na semana passada, político deu declarações xenófobas sobre trabalhadores baianos. ","PF é acionada após vereador ligar, sem provas, ministro do STF à pedofilia"
Lucas Soares e Juliete Gonçalves e EPTV Sul de Minas, 07/03/2023 11h09 ,https://g1.globo.com/mg/sul-de-minas/noticia/2023/03/07/veja-quem-sao-os-presos-do-sul-de-minas-na-7a-fase-da-operacao-lesa-patria.ghtml,"Conforme a Polícia Federal, duas pessoas foram presas em Areado (MG) e uma em Alpinópolis (MG). Um mandado de busca e apreensão está sendo cumprido em Passos.",Nova operação da PF prende mais 3 por atos golpistas; saiba quem são
Andréia Sadi, 07/03/2023 09h56 ,https://g1.globo.com/politica/blog/andreia-sadi/post/2023/03/07/pf-apura-se-bolsonaro-catalogou-2o-pacote-com-joias-em-lista-de-bens-pessoais-ao-deixar-presidencia.ghtml,"Kit com relógio, caneta, abotoaduras, anel e tipo de rosário da marca de luxo Chopard foram entregues ao Palácio do Planalto um dia antes de o ex-presidente deixar o Brasil. ",Polícia investiga se 2º pacote de joias ficou com Bolsonaro
Roney Domingos, 07/03/2023 13h13 ,https://g1.globo.com/fato-ou-fake/noticia/2023/03/07/e-fake-que-arroz-dana-do-paquistao-chegou-ao-brasil-com-virus-em-2023.ghtml,"O Brasil não importa arroz do Paquistão. Desta forma, a informação não procede, diz em nota o Ministério da Agricultura e Pecuária. Mensagem falsa circula em vários países e idiomas desde 2017.",É #FAKE que arroz do Paquistão chegou ao Brasil com vírus
g1 Santos, 07/03/2023 05h19 ,https://g1.globo.com/sp/santos-regiao/noticia/2023/03/07/juiza-de-sp-ironiza-e-manda-mulher-que-ostentava-vida-de-luxo-na-web-pagar-divida-nada-melhor-que-uma-louis-vuitton.ghtml,"Juíza da 5ª Vara do Trabalho de Santos, no litoral de São Paulo, determinou também a apreensão do passaporte e da Carteira Nacional de Habilitação (CHN) da executada.",Juíza penhora casaco Louis Vuitton de mulher com dívida trabalhista
"Genilson Araújo, Bom Dia Rio", 07/03/2023 07h09 ,https://g1.globo.com/rj/rio-de-janeiro/noticia/2023/03/07/caminhao-com-galinhas-tomba-na-zona-oeste-do-rio.ghtml,"Muitas morreram no acidente, em Jacarepaguá. Houve tentativa de saque, contida pela polícia.",Carreta com dezenas de galinhas vivas tomba no Rio
BBC, 07/03/2023 08h29 ,https://g1.globo.com/mundo/noticia/2023/03/07/10-anos-da-morte-de-chavez-o-que-resta-do-seu-legado-na-venezuela-de-maduro.ghtml,"Ainda adorado por parte da população venezuelana, outros o culpam por ser a origem da crise que abala o país há anos",10 anos da morte de Chávez: qual herança ele deixou à Venezuela
Bom Dia Brasil, 07/03/2023 09h16 ,https://g1.globo.com/bom-dia-brasil/noticia/2023/03/07/com-a-disparada-no-preco-do-chocolate-consumidores-estao-substituindo-o-ovo-de-pascoa.ghtml,Uma pesquisa mostrou que o preço do chocolate subiu acima da inflação. Já tem supermercado desistindo do tradicional ovo e investindo em barras e bombons. ,"Chocolate sobe acima da inflação, e ovo de Páscoa fica 15% mais caro"
Raphael Panaro, 07/03/2023 09h34 ,https://autoesporte.globo.com/lancamentos/noticia/2023/03/ferrari-conversivel-de-830-cv-chega-ao-brasil-com-preco-de-r-5-milhoes.ghtml,296 GTS vai de 0 a 100 km/h em menos de 3 segundos e pode atingir os 330 km/h de velocidade,Ferrari 296 conversível chega ao Brasil com preço de R$ 5 milhões
